Island_Site,Depth,ID_LAB,Species,Zoox,Chl_A,Chl_C2,IndexLoss,RatioChlA,RatioChlC2
Rangiroa_3,40,2589,Pocillopora verrucosa,2732542.05,13.85679694,4.655598456,22.646012618777,5.071027887750163e-6,1.7037609562129154e-6
Rangiroa_3,40,2590,Pocillopora verrucosa,2179023.892,8.74797606,1.650286689,22.646012618777,4.014630629850845e-6,7.573513512443856e-7
Rangiroa_3,40,2591,Pocillopora verrucosa,4709851.533,16.29571408,5.18649211,22.646012618777,3.45992096902049e-6,1.1012007647503058e-6
Rangiroa_3,40,2592,Pocillopora verrucosa,4482979.435,21.10097056,6.725408231,22.646012618777,4.706907730885008e-6,1.5002094764237974e-6
Rangiroa_3,40,2587,Pocillopora verrucosa,4420517.47,20.78734295,7.224219586,22.646012618777,4.7024682270964986e-6,1.6342474913915454e-6
Rangiroa_3,40,2585,Pocillopora verrucosa,3458649.807,23.29874393,7.966287756,22.646012618777,6.736369748346714e-6,2.3032941178019646e-6
Rangiroa_3,40,2583,Pocillopora verrucosa,2586542.488,9.199658771,3.172497977,22.646012618777,3.5567398616805552e-6,1.2265400594494314e-6
Rangiroa_3,40,2584,Pocillopora verrucosa,1932312.385,12.0506376,3.536843969,22.646012618777,6.23638170181267e-6,1.8303686280000735e-6
Rangiroa_3,6,2599,Pocillopora verrucosa,1704662.77,7.957659497,3.066937319,100,4.668172284304654e-6,1.799146067465297e-6
Rangiroa_3,6,2594,Pocillopora verrucosa,2198598.695,6.456653513,2.631295804,100,2.9367130653190896e-6,1.196805860925884e-6
Rangiroa_3,6,2597,Pocillopora verrucosa,3387354.818,11.99863116,5.199403528,100,3.542183150179811e-6,1.5349450551713653e-6
Rangiroa_3,6,2598,Pocillopora verrucosa,3316602.031,11.02166793,3.678844235,100,3.3231807214074517e-6,1.1092208834868196e-6
Rangiroa_3,6,2602,Pocillopora verrucosa,3525855.722,12.28280136,3.468233166,100,3.483636974525074e-6,9.836571429623575e-7
Rangiroa_3,6,2603,Pocillopora verrucosa,2494198.375,4.073578553,3.309457731,100,1.6332215568058014e-6,1.3268622753392661e-6
Rangiroa_3,6,2595,Pocillopora verrucosa,3404819.154,12.11900283,4.45585257,100,3.559367555766517e-6,1.3086899387197232e-6
Rangiroa_3,6,2596,Pocillopora verrucosa,2701882.223,10.29338048,3.625354814,100,3.809707318985532e-6,1.3417886180007632e-6
Rangiroa_3,6,2600,Pocillopora verrucosa,2845135.28,8.721242744,3.415873492,100,3.065317422797555e-6,1.2006014322102813e-6
Rangiroa_3,6,2601,Pocillopora verrucosa,5331522.486,18.90361449,8.342897336,100,3.545631578904308e-6,1.5648245614470433e-6
Tikehau_2,20,1614,Pocillopora verrucosa,4157484.477,26.96643719,9.60172703,55.5655039501645,6.4862388156067675e-6,2.3095040001035703e-6
