ID_LAB;Species;Island_Site;Depth;Nb Zoox / cm2;Sum Extract CHl A / cm2;Sum Extract CHl C2 / cm2
1612;Pocillopora verrucosa;Tikehau_2;20;1953499.925;9.79190512;3.357336834
1614;Pocillopora verrucosa;Tikehau_2;20;4157484.477;26.96643719;9.60172703
1615;Pocillopora verrucosa;Tikehau_2;20;2918023.793;21.67638533;8.262180888
1616;Pocillopora verrucosa;Tikehau_2;20;1767353.021;17.85215937;6.065584483
1617;Pocillopora verrucosa;Tikehau_2;20;1537662.53;13.67534667;4.534335601
1618;Pocillopora verrucosa;Tikehau_2;20;987026.2007;7.987881498;2.779340045
919;Pocillopora verrucosa;Bora_2;20;347182.6549;2.625479599;1.272544484
920;Pocillopora verrucosa;Bora_2;20;772465.3035;7.341063028;3.076891928
923;Pocillopora verrucosa;Bora_2;20;808720.6963;4.536874611;1.710996257
924;Pocillopora verrucosa;Bora_2;20;1025774.929;5.171470608;1.980968653
925;Pocillopora verrucosa;Bora_2;20;478860.0717;6.53798451;2.447351411
926;Pocillopora verrucosa;Bora_2;20;1197508.736;7.034166317;2.690105904
89;Pocillopora verrucosa;Moorea_2;62;2545829.158;11.15339244;3.570280486
100;Pocillopora verrucosa;Moorea_2;20;1941154.119;10.8463432;3.851712346
110;Pocillopora verrucosa;Moorea_2;20;2061367.111;9.296978185;3.52201572
112;Pocillopora verrucosa;Moorea_2;20;1811732.152;7.191712162;2.973797387
113;Pocillopora verrucosa;Moorea_2;20;1084677.915;5.622492886;1.940434347
146;Pocillopora verrucosa;Moorea_2;60;3151951.595;17.34490976;6.169511681
102;Pocillopora verrucosa;Moorea_2;20;2928682.011;17.63141835;6.23595428
124;Pocillopora verrucosa;Moorea_2;20;2961006.505;20.09602215;7.443674254
169;Pocillopora verrucosa;Moorea_2;60;3539241.967;23.32621914;7.170389439
1086;Pocillopora verrucosa;Bora_2;40;1923831.427;15.2440548;5.77500303
1087;Pocillopora verrucosa;Bora_2;40;6956518.428;41.78154329;16.45149287
1088;Pocillopora verrucosa;Bora_2;40;2754007.023;16.92753297;6.298310353
109;Pachyseris speciosa;Moorea_2;60;9678383.503;24.14486125;10.89738771
123;Pachyseris speciosa;Moorea_2;60;11836060.22;29.83200455;13.6719136
137;Pachyseris speciosa;Moorea_2;60;9820284.578;30.00431587;13.12340684
138;Pachyseris speciosa;Moorea_2;60;5306192.866;8.050147211;2.954215784
136;Pachyseris speciosa;Moorea_2;60;6684299.462;16.11952129;6.965512884
152;Pachyseris speciosa;Moorea_2;60;9097399.056;31.37827309;12.41889781
126;Pachyseris speciosa;Moorea_2;40;6442690.414;24.82695811;11.26465628
182;Pachyseris speciosa;Moorea_2;40;10304270.38;23.97885498;11.6773553
183;Pachyseris speciosa;Moorea_2;40;7668234.654;16.03452163;7.126851456
215;Pachyseris speciosa;Moorea_2;40;7936812.944;23.49218656;11.58874944
216;Pachyseris speciosa;Moorea_2;40;8511185.088;29.55343987;13.6654528
217;Pachyseris speciosa;Moorea_2;40;7525995.411;21.80996758;9.845502408
93;Pachyseris speciosa;Moorea_2;90;7928647.734;17.17719121;7.182705718
94;Pachyseris speciosa;Moorea_2;77;13049684.29;57.03193541;21.70360813
96;Pachyseris speciosa;Moorea_2;90;8657043.679;17.55410127;6.238679251
201;Pachyseris speciosa;Moorea_2;72;8267029.176;25.21195888;10.80552382
202;Pachyseris speciosa;Moorea_2;72;17640669.47;66.42268846;25.48862312
203;Pachyseris speciosa;Moorea_2;72;10169916.11;26.05651357;8.568962561
1027;Pachyseris speciosa;Bora_2;60;9350652.692;32.36078887;12.7999331
1028;Pachyseris speciosa;Bora_2;60;19116774.94;66.0418403;29.70850341
1029;Pachyseris speciosa;Bora_2;60;13185493.83;44.45060274;18.03805926
1030;Pachyseris speciosa;Bora_2;60;8594964.673;28.87928631;11.43059574
1031;Pachyseris speciosa;Bora_2;60;9575770.323;28.58311993;11.52391936
1032;Pachyseris speciosa;Bora_2;60;11508134.26;50.41772471;21.63164781
909;Pachyseris speciosa;Bora_2;90;10510229.01;51.7360184;20.57050659
910;Pachyseris speciosa;Bora_2;90;11032417.5;39.50082031;16.36586232
911;Pachyseris speciosa;Bora_2;90;8546704.529;32.94456532;14.58314807
912;Pachyseris speciosa;Bora_2;90;15860159.13;57.81728802;24.32756614
913;Pachyseris speciosa;Bora_2;90;8235943.057;19.09425842;NA
914;Pachyseris speciosa;Bora_2;90;17247432.9;62.53888372;25.52712467
852;Pachyseris speciosa;Bora_2;40;12557444.37;39.72142681;16.70335657
853;Pachyseris speciosa;Bora_2;40;7301643.551;19.50466948;8.350938407
854;Pachyseris speciosa;Bora_2;40;5653066.774;19.46546689;8.444296106
855;Pachyseris speciosa;Bora_2;40;8512599.921;30.64008058;14.27260399
856;Pachyseris speciosa;Bora_2;40;8072797.64;25.92017032;11.28197214
857;Pachyseris speciosa;Bora_2;40;11165364.33;35.62579103;16.91652189
95;Pachyseris speciosa;Moorea_2;77;13557104.94;34.797289;15.53777575
145;Pachyseris speciosa;Moorea_2;60;6990987.78;9.598757508;4.291112608
86;Pachyseris speciosa;Moorea_2;47;13950336.8;46.3930535;22.43417688
117;Pachyseris speciosa;Moorea_2;40;9641961.158;27.27163066;12.93036227
219;Pachyseris speciosa;Moorea_2;40;7801533.371;17.03752693;8.32404449
234;Pachyseris speciosa;Moorea_2;18;11796529.08;58.93586163;26.28332519
2594;Pocillopora verrucosa;Rangiroa_3;6;2198598.695;6.456653513;2.631295804
2595;Pocillopora verrucosa;Rangiroa_3;6;3404819.154;12.11900283;4.45585257
2596;Pocillopora verrucosa;Rangiroa_3;6;2701882.223;10.29338048;3.625354814
2597;Pocillopora verrucosa;Rangiroa_3;6;3387354.818;11.99863116;5.199403528
2598;Pocillopora verrucosa;Rangiroa_3;6;3316602.031;11.02166793;3.678844235
2599;Pocillopora verrucosa;Rangiroa_3;6;1704662.77;7.957659497;3.066937319
2583;Pocillopora verrucosa;Rangiroa_3;40;2586542.488;9.199658771;3.172497977
2584;Pocillopora verrucosa;Rangiroa_3;40;1932312.385;12.0506376;3.536843969
2585;Pocillopora verrucosa;Rangiroa_3;40;3458649.807;23.29874393;7.966287756
2586;Pocillopora verrucosa;Rangiroa_3;40;1929489.086;9.904319153;3.854162839
2587;Pocillopora verrucosa;Rangiroa_3;40;4420517.47;20.78734295;7.224219586
2588;Pocillopora verrucosa;Rangiroa_3;40;1576711.273;9.146007522;3.316470554
2483;Pocillopora verrucosa;Rangiroa_3;20;3377088.115;14.59544736;5.122305851
2484;Pocillopora verrucosa;Rangiroa_3;20;2253101.5;19.32300261;6.088890613
2485;Pocillopora verrucosa;Rangiroa_3;20;2150344.275;12.04354175;3.615093405
2486;Pocillopora verrucosa;Rangiroa_3;20;2602512.644;10.88824525;3.481015494
2487;Pocillopora verrucosa;Rangiroa_3;20;2593700.736;15.90126118;5.123921746
2488;Pocillopora verrucosa;Rangiroa_3;20;4096116.601;27.36878073;9.737274381
915;Pachyseris speciosa;Bora_2;90;15766747.01;40.75528916;17.28773303
916;Pachyseris speciosa;Bora_2;90;12225079.53;29.63934577;15.5140574
1842;Pachyseris speciosa;Tikehau_2;90;21991018.95;78.76686559;39.16630958
2563;Pachyseris speciosa;Rangiroa_3;90;4569489.398;15.04254343;6.538332759
1851;Pachyseris speciosa;Tikehau_2;60;6928278.461;14.77348176;5.916545604
1870;Pachyseris speciosa;Tikehau_2;10;9617746.277;27.76953499;7.400965409
170;Pocillopora verrucosa;Moorea_2;60;3588722.733;21.47619342;5.811775778
1149;Pocillopora verrucosa;Bora_2;60;4582204.445;31.20525155;9.587365295
1853;Pocillopora verrucosa;Tikehau_2;40;2880233.934;14.40944416;4.121585067
1854;Pocillopora verrucosa;Tikehau_2;40;2415013.172;14.66304777;4.317341853
1858;Pocillopora verrucosa;Tikehau_2;40;3693650.444;16.33668379;4.881355318
