ID_LAB,Depth,Island_Site,Size_Ba,Distance_Ba,Size_Ap,Distance_Ap,Size_Ba_sd,Distance_Ba_sd,Size_Ap_sd,Distance_Ap_sd
168,60,Moorea_2,0.8679,0.6633,0.862,0.16469999999999999,0.08261752571673613,0.20091017893576224,0.09028719608990955,0.05867189370653645
169,60,Moorea_2,0.6860999999999999,0.7516,0.7762,0.24960000000000002,0.09524173921600176,0.12851995089392845,0.07893288288159758,0.15346096137671844
170,60,Moorea_2,0.483,0.5726,0.6154999999999999,0.3385,0.0726360791893395,0.15965949879526603,0.07396132623052253,0.041931822972269855
172,40,Moorea_2,0.7604,0.5243,0.806,0.2643,0.06512586105210262,0.21086491199607182,0.08815390581880711,0.09953006246021015
232,40,Moorea_2,0.6156,0.4892,0.7404,0.3135,0.08510803591775443,0.19699452897084338,0.13939328853602992,0.12463123382380698
233,40,Moorea_2,0.5821,0.3561,0.7315,0.2405,0.10144779719420012,0.16720410016237974,0.07999340250573446,0.055857457474857874
235,6,Moorea_2,0.69514,0.4164,0.8537,0.2133,0.09575510662332554,0.14338309213819847,0.09921699003250961,0.09463972621356095
237,6,Moorea_2,0.6402,0.3915,0.7463,0.14579999999999999,0.0640586536785711,0.13484167670930888,0.1096094582293578,0.08346874331814941
238,6,Moorea_2,0.6609,0.4637,0.5999,0.14063,0.05585984445218427,0.13479123776335677,0.07314437777437169,0.03890844095794353
239,6,Moorea_2,0.6373,0.4107,0.8099999999999999,0.25484,0.05260977940353761,0.1315007815777365,0.1615631971293793,0.11483722973554061
240,6,Moorea_2,0.7014,0.418,0.7604,0.14928,0.12499262200448294,0.18539147768977945,0.1739432857763319,0.06428023369936084
919,20,Bora_2,0.4828,0.5209,0.7462,0.2293,0.08863633566433125,0.18966429406834712,0.10378696128769418,0.05255272484742241
921,20,Bora_2,0.69,0.5542,0.8395,0.2581,0.08232591059657682,0.22180612154662357,0.23155860789201704,0.03268519882488436
922,20,Bora_2,0.5724,0.6751,0.8387,0.2228,0.08771316890866501,0.2111289495387436,0.14269396156343356,0.0393779408072873
923,20,Bora_2,0.5563,0.5886,0.6523,0.22490000000000002,0.06065210447938125,0.2083598383139664,0.06207352271477929,0.086650575429262
924,20,Bora_2,0.6018,0.7458,0.6508,0.3225,0.07690080190305774,0.2157518121463744,0.09556940468115886,0.08026656976738336
925,20,Bora_2,0.6497,0.5754,0.7096,0.2359,0.06395493204853972,0.1466706060077024,0.0837843793449723,0.0545332722086047
926,20,Bora_2,0.7226,0.5498000000000001,0.7851,0.2642,0.1101909453832049,0.1880010638267773,0.13526554131288085,0.06381884082654937
1019,6,Bora_2,0.6292,0.5463,0.8614,0.2203,0.07110524281342098,0.2048972913437364,0.15264570452885698,0.06923398330620914
1020,6,Bora_2,0.8041,0.43820000000000003,0.8454,0.13358,0.11312966994658041,0.13172682170141187,0.08012517984032512,0.05446598938787397
1021,6,Bora_2,0.7872,0.4448,0.8377,0.18510000000000001,0.16543330310967552,0.06524790332944722,0.12017029583054208,0.055624634830262025
1022,6,Bora_2,0.672,0.4245,0.7585999999999999,0.24143,0.07905553603497845,0.15398863594434495,0.08318012583143485,0.12971988667895143
1023,6,Bora_2,0.8403,0.3609,0.7872,0.2589,0.10406093300455163,0.3436230007823497,0.12713404998924038,0.08625343793470239
1025,6,Bora_2,0.5502,0.4521,0.671,0.2029,0.04897799959619057,0.09538978515077554,0.08923502052943613,0.10449928229418612
1080,40,Bora_2,0.6759,0.6329,0.661,0.2223,0.07279415422194895,0.2421337784503985,0.0733030240394851,0.035674609707434475
1081,40,Bora_2,0.7426,0.6597,0.7729,0.3159,0.11428735713104929,0.2518880042135129,0.02847396471632756,0.12986869437157583
1082,40,Bora_2,0.7313000000000001,0.4822,0.9622,0.15389,0.12605294302174957,0.18322893997522455,0.13460295522593685,0.06452380180987477
1084,40,Bora_2,0.8168,0.6122,0.8703,0.3125,0.07273055295632867,0.09919655011922317,0.09826500450878284,0.1325193906146904
1085,40,Bora_2,0.5905,0.6821,0.5803,0.2464,0.06172744752359177,0.22578428741709303,0.08730667532070818,0.10596980702067924
1086,40,Bora_2,0.7798,0.5693,0.907,0.2862,0.126151408148216,0.1808191545900673,0.0751265598839718,0.14104829748076445
1143,60,Bora_2,0.8409,0.6883,0.9057999999999999,0.156,0.08904611788905292,0.3015246627097396,0.1167169415485363,0.04254148302278351
