ID_LAB,Depth,Island_Site,Septa.Distance,Width.Valley,Height.Septa,septa_sd,height_sd,valley_sd
1850,60,Tikehau_2,0.05829,0.1794,1.949,0.00850103915216644,0.1612761606685874,0.051976917954030324
1851,60,Tikehau_2,0.053470000000000004,0.1076,2.09,0.014740801274768692,NA,0.05196513788642878
1864,10,Tikehau_2,0.16195,0.3188,3.408,0.04579449869920088,0.42475613918786126,0.07382983437909396
1865,10,Tikehau_2,0.12137,0.2063,2.87,0.03061503080369365,0.2372527953236566,0.030239966196336194
1866,10,Tikehau_2,0.0516,0.23600000000000002,2.608,0.010258654882585727,0.10042133460796289,0.0671201244867075
1867,10,Tikehau_2,0.06837,0.17155,2.351,0.0187562167471659,0.16934186330221673,0.05621607619019867
1868,10,Tikehau_2,0.06385,0.1701,3.8840000000000003,0.02183912137019762,0.37880513900069174,0.02413595750005465
1869,10,Tikehau_2,0.0888,0.2597,2.6422222222222222,0.019260494974601944,NA,0.07334098444935137
1870,10,Tikehau_2,0.06049,0.17557999999999999,2.522222222222222,0.016397997845265543,NA,0.0562670971547513
2463,60,Rangiroa_3,0.0685,0.18080000000000002,1.8557142857142856,0.016050268256671326,NA,0.057043453222570206
2464,60,Rangiroa_3,0.07528,0.2047,3.285,0.019068694530856356,0.25936889216369463,0.04487030693503717
2465,60,Rangiroa_3,0.13934,0.1822,1.9985714285714287,0.15305200423385507,NA,0.07737757355260559
2466,60,Rangiroa_3,0.06762,0.161,2.0909999999999997,0.017990417202252734,0.20052431274037572,0.03441253001774531
2467,60,Rangiroa_3,0.06953,0.15619,1.716,0.02124785217903735,0.27455823102253224,0.034430040178115774
2468,60,Rangiroa_3,0.06771,0.1303,2.211,0.01408501567860919,0.44943050383544036,0.03624929118080947
2469,60,Rangiroa_3,0.06303,0.12969,1.92,0.015118719081544796,0.24770053604212397,0.029446842879255416
2470,60,Rangiroa_3,0.18696000000000002,0.1447,2.3644444444444446,0.2629273968227731,NA,0.017882642111525043
2473,40,Rangiroa_3,0.03909,0.15312,2.56,0.007775524276714578,0.2964980794391612,0.034598805374367096
2474,40,Rangiroa_3,0.11183,0.2845,1.8143,0.013890048396043998,0.5383002156995873,0.06671373338542988
2475,40,Rangiroa_3,0.07531,0.16492,3.201,0.028334252926253217,0.2387211297262514,0.06877001607612951
2476,40,Rangiroa_3,0.03105,0.1745,2.67,0.00916978734758882,0.2539903760206497,0.061079638360277015
2477,40,Rangiroa_3,0.04442,0.1728,1.952,0.020679877498025304,0.2963781368454833,0.04555289965157725
2478,40,Rangiroa_3,0.04059,0.189,2.911111111111111,0.012534171071293248,NA,0.08012490249604053
2479,40,Rangiroa_3,0.10096000000000001,0.2089,2.878,0.02634072470107415,0.4420356948884961,0.07984770225595446
2480,40,Rangiroa_3,0.1144,0.2233,2.211,0.17111607496407552,0.6380952558635392,0.0434461352327991
2563,90,Rangiroa_3,0.02926,0.1794,1.77,0.005485171930861522,NA,0.027601127191153298
2564,90,Rangiroa_3,0.04241,0.1763,1.006,0.008126561388434839,NA,0.019471061147821968
2565,90,Rangiroa_3,0.05497,0.1975,1.2650000000000001,0.0063315874786659945,NA,0.04633513185957761
2566,90,Rangiroa_3,0.07263,0.221,1.52,0.013939396607377873,NA,0.0418568990729127
2567,90,Rangiroa_3,0.09046,0.2121,1.3466666666666667,0.005293853878686953,NA,0.04772944583797302
2568,90,Rangiroa_3,0.10614000000000001,0.2696,1.3814285714285715,0.0189333450704189,NA,0.0325685601633095
2569,90,Rangiroa_3,0.06131,0.2551,1.5116666666666667,0.009156715811056083,NA,0.029830819260921716
2570,90,Rangiroa_3,0.03186,0.24842,1.3439,0.010429147190020433,0.2711229528379247,0.2419861052025738
2571,90,Rangiroa_3,0.04736,0.13741,1.6555555555555554,0.016636252248895752,NA,0.05294186434193643
2572,90,Rangiroa_3,0.03028,0.12298999999999999,1.767777777777778,0.008126745966252421,NA,0.05367094082358617
2573,25,Rangiroa_3,0.09046,0.2029,2.201111111111111,0.02202625705833835,NA,0.02028381949568013
2574,25,Rangiroa_3,0.11385,0.21610000000000001,1.8466666666666667,0.027259585470069063,NA,0.031638408444308465
2575,25,Rangiroa_3,0.06871000000000001,0.217,2.422,0.005215031692670289,0.42876567026757173,0.02746715209927022
2576,25,Rangiroa_3,0.1873,0.2862,3.908,0.04439481951759687,0.1805423926825928,0.04095471754131493
2577,25,Rangiroa_3,0.06815,0.2833,2.181111111111111,0.015244106329259773,NA,0.05126846550810308
2578,25,Rangiroa_3,0.08211,0.24760000000000001,2.3455555555555554,0.013967537761220162,NA,0.04990702466698563
