ID_LAB,Island_Site,Depth,Species,Zoox,Chl_A,Chl_C2,Relative_Index_Light,RatioChlA,RatioChlC2,Size_Ba,Distance_Ba,Size_Ap,Distance_Ap,Size_Ba_sd,Distance_Ba_sd,Size_Ap_sd,Distance_Ap_sd
163,Moorea_2,60,Pocillopora verrucosa,4206892.088,20.40139303,7.6254561,12.2173416036179,4.849516603526437e-6,1.8126103404818305e-6,0.7079,0.6364,0.8477,0.2119,0.12452973763545619,0.1680854280153729,0.043264175583141405,0.07213328712259763
165,Moorea_2,60,Pocillopora verrucosa,3507369.495,17.75576579,6.103918974,12.2173416036179,5.062416667337754e-6,1.740312499923821e-6,0.6089,0.6531,0.8771,0.2028,0.061504200398563545,0.2827564519354264,0.06883708625765943,0.04394137508595339
166,Moorea_2,60,Pocillopora verrucosa,1431741.944,8.151199671,2.509917628,12.2173416036179,5.693204494817818e-6,1.7530516854090294e-6,0.8709,0.6348,0.9247,0.24530000000000002,0.09656368077307559,0.28214015429687894,0.04168412967385389,0.07929838165645837
167,Moorea_2,60,Pocillopora verrucosa,1354433.689,6.362556777,1.637926673,12.2173416036179,4.697577170941146e-6,1.2093073926781216e-6,0.75,0.772,0.8636,0.2504,0.09093954035511725,0.30082220662710396,0.07676399619034374,0.08791056060944365
168,Moorea_2,60,Pocillopora verrucosa,1648756.692,9.897168022,3.251335587,12.2173416036179,6.0028068847407595e-6,1.971992352040746e-6,0.8679,0.6633,0.862,0.16469999999999999,0.08261752571673613,0.20091017893576224,0.09028719608990955,0.05867189370653645
169,Moorea_2,60,Pocillopora verrucosa,3539241.967,23.32621914,7.170389439,12.2173416036179,6.590738739395152e-6,2.025967567591289e-6,0.6860999999999999,0.7516,0.7762,0.24960000000000002,0.09524173921600176,0.12851995089392845,0.07893288288159758,0.15346096137671844
170,Moorea_2,60,Pocillopora verrucosa,3588722.733,21.47619342,5.811775778,12.2173416036179,5.984355721470556e-6,1.6194552241548164e-6,0.483,0.5726,0.6154999999999999,0.3385,0.0726360791893395,0.15965949879526603,0.07396132623052253,0.041931822972269855
172,Moorea_2,40,Pocillopora verrucosa,2373930.454,15.8593316,5.18785774,23.9135106993185,6.680621824147171e-6,2.1853452915011133e-6,0.7604,0.5243,0.806,0.2643,0.06512586105210262,0.21086491199607182,0.08815390581880711,0.09953006246021015
232,Moorea_2,40,Pocillopora verrucosa,2616923.818,13.16226858,4.613808524,23.9135106993185,5.029672048328615e-6,1.7630656621583014e-6,0.6156,0.4892,0.7404,0.3135,0.08510803591775443,0.19699452897084338,0.13939328853602992,0.12463123382380698
233,Moorea_2,40,Pocillopora verrucosa,4000161.21,20.20967662,7.532514092,23.9135106993185,5.052215538083276e-6,1.8830526312713284e-6,0.5821,0.3561,0.7315,0.2405,0.10144779719420012,0.16720410016237974,0.07999340250573446,0.055857457474857874
235,Moorea_2,6,Pocillopora verrucosa,2504696.119,9.504391627,3.166662152,100,3.7946286397387917e-6,1.2642899583620108e-6,0.69514,0.4164,0.8537,0.2133,0.09575510662332554,0.14338309213819847,0.09921699003250961,0.09463972621356095
237,Moorea_2,6,Pocillopora verrucosa,1557521.933,10.21264588,3.00776786,100,6.556983669776675e-6,1.9311239195242847e-6,0.6402,0.3915,0.7463,0.14579999999999999,0.0640586536785711,0.13484167670930888,0.1096094582293578,0.08346874331814941
238,Moorea_2,6,Pocillopora verrucosa,2786234.033,8.235546374,2.323307072,100,2.955798499500993e-6,8.33852090126989e-7,0.6609,0.4637,0.5999,0.14063,0.05585984445218427,0.13479123776335677,0.07314437777437169,0.03890844095794353
239,Moorea_2,6,Pocillopora verrucosa,3295311.21,11.45397037,3.624881213,100,3.475838741798229e-6,1.1000117991890666e-6,0.6373,0.4107,0.8099999999999999,0.25484,0.05260977940353761,0.1315007815777365,0.1615631971293793,0.11483722973554061
240,Moorea_2,6,Pocillopora verrucosa,3381881.206,12.30161224,3.892046526,100,3.6375057226063906e-6,1.1508525252439043e-6,0.7014,0.418,0.7604,0.14928,0.12499262200448294,0.18539147768977945,0.1739432857763319,0.06428023369936084
919,Bora_2,20,Pocillopora verrucosa,347182.6549,2.625479599,1.272544484,52.1731003202798,7.5622429921109515e-6,3.6653457943241275e-6,0.4828,0.5209,0.7462,0.2293,0.08863633566433125,0.18966429406834712,0.10378696128769418,0.05255272484742241
