ID_LAB,Island_Site,Depth,Extraction,δ13C,δ15N,Ratio_C_N,Delta13C_Pol_Zoox,Delta15N_Pol_Zoox,Ratio13C_Pol_Zoox,Ratio15N_Pol_Zoox
146,Moorea_2,60,Polyps,-17.29,5.2,6.833333333333333,0.420000000000002,1.93,0.976284584980237,1.59021406727829
1612,Tikehau_2,20,Polyps,-15.65,6.41,2.875,0.33,-3.08,0.979349186483104,0.675447839831401
1612,Tikehau_2,20,Zoox,-15.98,9.49,6.4772727272727275,0.33,-3.08,0.979349186483104,0.675447839831401
1614,Tikehau_2,20,Zoox,-15.99,3.67,6.152542372881356,0.19,-1.2,0.988117573483427,0.673024523160763
1614,Tikehau_2,20,Polyps,-15.8,2.47,3.0000000000000004,0.19,-1.2,0.988117573483427,0.673024523160763
1616,Tikehau_2,20,Polyps,-16.46,8.58,2.75,-0.530000000000001,-2.14,1.03327055869429,0.800373134328358
1616,Tikehau_2,20,Zoox,-15.93,10.72,7.447368421052632,-0.530000000000001,-2.14,1.03327055869429,0.800373134328358
1617,Tikehau_2,20,Polyps,-16.56,8.14,3.3333333333333335,-0.129999999999999,-1.03,1.00791235544735,0.887677208287895
1617,Tikehau_2,20,Zoox,-16.43,9.17,5.71875,-0.129999999999999,-1.03,1.00791235544735,0.887677208287895
1618,Tikehau_2,20,Polyps,-17.75,9.96,2.7777777777777777,0.43,0.670000000000002,0.976347634763476,1.07212055974166
1618,Tikehau_2,20,Zoox,-18.18,9.29,5.58695652173913,0.43,0.670000000000002,0.976347634763476,1.07212055974166
1619,Tikehau_2,20,Zoox,-16.87,4.29,5.692307692307692,0.57,0.11,0.966212211025489,1.02564102564103
1619,Tikehau_2,20,Polyps,-16.3,4.4,3.166666666666667,0.57,0.11,0.966212211025489,1.02564102564103
165,Moorea_2,60,Polyps,-18.63,3.4,3.5000000000000004,-0.57,0.46,1.03156146179402,1.15646258503401
165,Moorea_2,60,Zoox,-18.06,2.94,5.090909090909092,-0.57,0.46,1.03156146179402,1.15646258503401
167,Moorea_2,60,Zoox,-18.59,2.92,5.9523809523809526,-0.300000000000001,-2.67,1.0161377084454,0.0856164383561644
167,Moorea_2,60,Polyps,-18.89,0.25,3,-0.300000000000001,-2.67,1.0161377084454,0.0856164383561644
168,Moorea_2,60,Polyps,-18.77,10.39,3.666666666666667,-0.509999999999998,7.45,1.02792990142388,3.53401360544218
168,Moorea_2,60,Zoox,-18.26,2.94,5.96,-0.509999999999998,7.45,1.02792990142388,3.53401360544218
169,Moorea_2,60,Polyps,-18.87,3.56,4.75,0.109999999999999,0.18,0.994204425711275,1.05325443786982
169,Moorea_2,60,Zoox,-18.98,3.38,6.157894736842104,0.109999999999999,0.18,0.994204425711275,1.05325443786982
1718,Tikehau_2,60,Polyps,-18.97,6.84,2.3333333333333335,-0.579999999999998,1.5,1.03153887982599,1.28089887640449
1718,Tikehau_2,60,Zoox,-18.39,5.34,4.9642857142857135,-0.579999999999998,1.5,1.03153887982599,1.28089887640449
172,Moorea_2,40,Zoox,-19.25,3.42,6.226415094339622,0.0300000000000011,-1.62,0.998441558441558,0.526315789473684
172,Moorea_2,40,Polyps,-19.22,1.8,3.3333333333333335,0.0300000000000011,-1.62,0.998441558441558,0.526315789473684
1769,Tikehau_2,6,Zoox,-15.36,9.51,8.617977528089888,-0.32,3.35,1.02083333333333,1.35226077812829
1769,Tikehau_2,6,Polyps,-15.68,12.86,4.142857142857142,-0.32,3.35,1.02083333333333,1.35226077812829
1771,Tikehau_2,6,Zoox,-14.03,10.3,6.351851851851852,-0.180000000000001,0.5,1.0128296507484,1.04854368932039
1771,Tikehau_2,6,Polyps,-14.21,10.8,4,-0.180000000000001,0.5,1.0128296507484,1.04854368932039
1772,Tikehau_2,6,Polyps,-15.36,6.3,2.2857142857142856,-0.74,-2.76,1.05061559507524,0.695364238410596
1772,Tikehau_2,6,Zoox,-14.62,9.06,5.981132075471698,-0.74,-2.76,1.05061559507524,0.695364238410596
1773,Tikehau_2,6,Polyps,-15.63,5.94,2.857142857142857,-0.31,-2.78,1.02023498694517,0.681192660550459
1773,Tikehau_2,6,Zoox,-15.32,8.72,6.2615384615384615,-0.31,-2.78,1.02023498694517,0.681192660550459
