Depth,Island_Site,Extraction,Nitrogen,Delta_Nitrogen15,Carbon,Delta_Carbon13,Ratio_C_N,Delta_Nitrogen15_SD,Delta_Carbon13_SD,Ratio_C_N_SD,Delta13C_Pol_Zoox,Delta15N_Pol_Zoox,Delta13C_Pol_Zoox_SD,Delta15N_Pol_Zoox_SD,Ratio13C_Pol_Zoox,Ratio15N_Pol_Zoox,Ratio13C_Pol_Zoox_SD,Ratio15N_Pol_Zoox_SD
40,Rangiroa_3,Polyps,0.06666666666666667,7.390000000000001,0.4116666666666667,-17.205,5.926851851851852,1.2232906441234643,0.7536776499273405,1.3526855622991896,-0.1333333333333327,-0.1333333333333327,3.3128401712126108,3.3128401712126108,1.008139687052652,0.8817261003855164,0.017007670656071297,0.2577142496640134
40,Rangiroa_3,Zoox,0.15666666666666668,8.915,0.9583333333333334,-17.071666666666665,6.057367149758454,2.2229597387267273,0.8434551954115087,0.5315807227809506,-0.1333333333333327,-0.1333333333333327,3.3128401712126108,3.3128401712126108,1.008139687052652,0.8817261003855164,0.017007670656071297,0.2577142496640134
40,Tikehau_2,Polyps,0.07571428571428572,9.811428571428571,0.3557142857142857,-17.85142857142857,4.577860235003092,4.57070537434296,1.1405178439555224,0.6548459358893838,0.5000000000000001,0.5000000000000001,4.104170352911083,4.104170352911083,0.9733099576469483,1.1748752265547033,0.016617643481196157,0.4386990730804972
40,Tikehau_2,Zoox,0.21714285714285714,8.29,1.33,-18.35142857142857,6.050680858550317,1.1801836015355125,1.3221123070227245,0.4853300676728544,0.5000000000000001,0.5000000000000001,4.104170352911083,4.104170352911083,0.9733099576469483,1.1748752265547033,0.016617643481196157,0.4386990730804972
60,Bora_2,Polyps,0.06714285714285714,5.368571428571428,0.36857142857142855,-18.695714285714285,5.3464285714285715,0.4119234787930308,0.5885251946704624,1.0231561684188508,0.45857142857142874,0.45857142857142874,0.2018839836568094,0.2018839836568094,0.97627069356971,0.998802421008611,0.0126734552722758,0.03659724379033031
60,Bora_2,Zoox,0.25,5.381428571428572,1.7957142857142856,-19.154285714285713,7.17005331491169,0.45318975317294224,0.7019700169963846,0.6676541159633521,0.45857142857142874,0.45857142857142874,0.2018839836568094,0.2018839836568094,0.97627069356971,0.998802421008611,0.0126734552722758,0.03659724379033031
60,Moorea_2,Polyps,0.047142857142857146,4.112857142857143,0.25285714285714284,-18.68285714285714,5.397619047619048,0.3961360997483181,0.2792677500007406,0.6099050147228886,0.1685714285714279,0.1685714285714279,0.31656640016635645,0.31656640016635645,0.9910862246400004,1.0136689728717305,0.011284893252979333,0.07747137390984678
60,Moorea_2,Zoox,0.16285714285714287,4.071428571428571,1.1857142857142857,-18.85142857142857,7.201029534620866,0.44901479453831555,0.2389162036801863,0.49429645009226664,0.1685714285714279,0.1685714285714279,0.31656640016635645,0.31656640016635645,0.9910862246400004,1.0136689728717305,0.011284893252979333,0.07747137390984678
60,Rangiroa_3,Polyps,0.0775,9.83875,0.47125,-16.82125,5.943849206349206,1.6903798178431464,0.5912079039680425,1.0047233722859712,-0.2650000000000008,-0.2650000000000008,1.1058125648460626,1.1058125648460626,1.016041553028648,1.1146281369333466,0.018229922448789758,0.10955823064688891
60,Rangiroa_3,Zoox,0.18875,8.796249999999999,1.22,-16.55625,6.4399587819212565,0.7983185454441101,0.5258988903364816,0.6398160170884084,-0.2650000000000008,-0.2650000000000008,1.1058125648460626,1.1058125648460626,1.016041553028648,1.1146281369333466,0.018229922448789758,0.10955823064688891
