ID_LAB,Island_Site,Depth,Extraction,δ13C,δ15N,Ratio_C_N,Delta13C_Pol_Zoox,Delta15N_Pol_Zoox,Ratio13C_Pol_Zoox,Ratio15N_Pol_Zoox
1865,Tikehau_2,10,Zoox,-17.43,8.95,7.185185185185184,0.59,-0.239999999999998,0.966150315547906,0.9731843575419
1866,Tikehau_2,10,Zoox,-18.08,8.37,6.909090909090909,0.469999999999999,-0.629999999999999,0.974004424778761,0.924731182795699
1866,Tikehau_2,10,Polyps,-17.61,7.74,4.428571428571428,0.469999999999999,-0.629999999999999,0.974004424778761,0.924731182795699
1867,Tikehau_2,10,Zoox,-21.23,8.09,5.708333333333334,0.170000000000002,0.33,0.991992463495054,1.04079110012361
1867,Tikehau_2,10,Polyps,-21.06,8.42,5.285714285714286,0.170000000000002,0.33,0.991992463495054,1.04079110012361
1868,Tikehau_2,10,Zoox,-19.1,8.45,6.130434782608695,0.460000000000001,-0.109999999999999,0.975916230366492,0.98698224852071
1868,Tikehau_2,10,Polyps,-18.64,8.34,5.888888888888889,0.460000000000001,-0.109999999999999,0.975916230366492,0.98698224852071
1869,Tikehau_2,10,Zoox,-20.48,8.4,6.36,0.140000000000001,-1.43,0.9931640625,0.829761904761905
1869,Tikehau_2,10,Polyps,-20.34,6.97,6.3,0.140000000000001,-1.43,0.9931640625,0.829761904761905
1870,Tikehau_2,10,Polyps,-19.73,8.75,4.6,-0.859999999999999,0.0299999999999994,1.04557498675146,1.00344036697248
1870,Tikehau_2,10,Zoox,-18.87,8.72,5.857142857142856,-0.859999999999999,0.0299999999999994,1.04557498675146,1.00344036697248
201,Moorea_2,72,Polyps,-19.08,4.81,5.166666666666667,0.390000000000001,0.19,0.979969183359014,1.04112554112554
201,Moorea_2,72,Zoox,-19.47,4.62,6.866666666666667,0.390000000000001,0.19,0.979969183359014,1.04112554112554
202,Moorea_2,72,Zoox,-20.69,4.49,7.705882352941177,1.1,0.76,0.946834219429676,1.16926503340757
202,Moorea_2,72,Polyps,-19.59,5.25,5.714285714285714,1.1,0.76,0.946834219429676,1.16926503340757
203,Moorea_2,72,Polyps,-18.68,5.64,6.142857142857142,0.440000000000001,1,0.976987447698745,1.21551724137931
203,Moorea_2,72,Zoox,-19.12,4.64,7.6190476190476195,0.440000000000001,1,0.976987447698745,1.21551724137931
215,Moorea_2,40,Zoox,-19.25,4.47,6.785714285714285,0.940000000000001,-0.47,0.951168831168831,0.894854586129754
215,Moorea_2,40,Polyps,-18.31,4,4.25,0.940000000000001,-0.47,0.951168831168831,0.894854586129754
216,Moorea_2,40,Polyps,-17.3,4.61,4.166666666666667,1.21,0.81,0.934629929767693,1.21315789473684
216,Moorea_2,40,Zoox,-18.51,3.8,6.315789473684211,1.21,0.81,0.934629929767693,1.21315789473684
217,Moorea_2,40,Polyps,-18.85,4.71,4.500000000000001,1.24,0.24,0.93827775012444,1.05369127516779
217,Moorea_2,40,Zoox,-20.09,4.47,7.333333333333334,1.24,0.24,0.93827775012444,1.05369127516779
219,Moorea_2,40,Polyps,-17.6,4.79,3.8,0.439999999999998,0.56,0.975609756097561,1.13238770685579
219,Moorea_2,40,Zoox,-18.04,4.23,6.230769230769231,0.439999999999998,0.56,0.975609756097561,1.13238770685579
2463,Rangiroa_3,60,Polyps,-17.1,8.68,5.888888888888889,-0.330000000000002,0.640000000000001,1.01967799642218,1.07960199004975
2463,Rangiroa_3,60,Zoox,-16.77,8.04,6.266666666666667,-0.330000000000002,0.640000000000001,1.01967799642218,1.07960199004975
2464,Rangiroa_3,60,Polyps,-16.63,9.28,5.8999999999999995,-0.27,0.6,1.01650366748166,1.06912442396313
2464,Rangiroa_3,60,Zoox,-16.36,8.68,6.689655172413794,-0.27,0.6,1.01650366748166,1.06912442396313
2465,Rangiroa_3,60,Zoox,-16.65,9.12,7.238095238095238,-0.240000000000002,1.15,1.01441441441441,1.12609649122807
2465,Rangiroa_3,60,Polyps,-16.89,10.27,7.166666666666667,-0.240000000000002,1.15,1.01441441441441,1.12609649122807
2466,Rangiroa_3,60,Zoox,-16.92,10.37,7.058823529411764,-0.5,3.37,1.02955082742317,1.32497589199614
2466,Rangiroa_3,60,Polyps,-17.42,13.74,7,-0.5,3.37,1.02955082742317,1.32497589199614
2467,Rangiroa_3,60,Zoox,-15.42,7.67,5.235294117647059,-0.0999999999999996,1.33,1.0064850843061,1.17340286831812
2467,Rangiroa_3,60,Polyps,-15.52,9,5.857142857142856,-0.0999999999999996,1.33,1.0064850843061,1.17340286831812
2468,Rangiroa_3,60,Polyps,-17.24,9.24,6.571428571428571,-0.829999999999998,0.450000000000001,1.05057891529555,1.05119453924915
2468,Rangiroa_3,60,Zoox,-16.41,8.79,6.769230769230769,-0.829999999999998,0.450000000000001,1.05057891529555,1.05119453924915
2469,Rangiroa_3,60,Polyps,-16.67,8.48,4.166666666666667,0.0999999999999979,-0.469999999999999,0.994036970781157,0.947486033519553
2469,Rangiroa_3,60,Zoox,-16.77,8.95,6.095238095238096,0.0999999999999979,-0.469999999999999,0.994036970781157,0.947486033519553
2470,Rangiroa_3,60,Polyps,-17.1,10.02,5,0.0499999999999972,1.27,0.997084548104956,1.14514285714286
2470,Rangiroa_3,60,Zoox,-17.15,8.75,6.166666666666668,0.0499999999999972,1.27,0.997084548104956,1.14514285714286
2473,Rangiroa_3,40,Zoox,-16.72,8.87,6.260869565217391,-0.68,-0.289999999999999,1.04066985645933,0.967305524239008
2473,Rangiroa_3,40,Polyps,-17.4,8.58,5.555555555555555,-0.68,-0.289999999999999,1.04066985645933,0.967305524239008
2475,Rangiroa_3,40,Polyps,-15.8,5.02,8.555555555555555,-0.130000000000001,-8.18,1.00829610721123,0.38030303030303
2475,Rangiroa_3,40,Zoox,-15.67,13.2,6.875,-0.130000000000001,-8.18,1.00829610721123,0.38030303030303
2476,Rangiroa_3,40,Zoox,-17.55,8.63,6.375,-0.0799999999999983,-0.98,1.0045584045584,0.886442641946698
2476,Rangiroa_3,40,Polyps,-17.63,7.65,5.999999999999999,-0.0799999999999983,-0.98,1.0045584045584,0.886442641946698
2477,Rangiroa_3,40,Polyps,-17.99,7.53,5.2,0.16,-0.37,0.991184573002755,0.953164556962025
2477,Rangiroa_3,40,Zoox,-18.15,7.9,5.583333333333334,0.16,-0.37,0.991184573002755,0.953164556962025
2478,Rangiroa_3,40,Polyps,-17.08,7.61,5.500000000000001,-0.0799999999999983,0.840000000000001,1.00470588235294,1.12407680945347
2478,Rangiroa_3,40,Zoox,-17,6.77,5.583333333333334,-0.0799999999999983,0.840000000000001,1.00470588235294,1.12407680945347
2480,Rangiroa_3,40,Polyps,-17.33,7.95,4.75,0.0100000000000016,-0.169999999999999,0.999423298731257,0.979064039408867
2480,Rangiroa_3,40,Zoox,-17.34,8.12,5.666666666666667,0.0100000000000016,-0.169999999999999,0.999423298731257,0.979064039408867
2563,Rangiroa_3,90,Polyps,-18.72,6.74,4.75,1.17,-0.109999999999999,0.941176470588235,0.983941605839416
2563,Rangiroa_3,90,Zoox,-19.89,6.85,5.6000000000000005,1.17,-0.109999999999999,0.941176470588235,0.983941605839416
2564,Rangiroa_3,90,Polyps,-19.07,9.88,8,0.0399999999999991,2.02,0.997906855049712,1.25699745547074
2564,Rangiroa_3,90,Zoox,-19.11,7.86,6.357142857142857,0.0399999999999991,2.02,0.997906855049712,1.25699745547074
2565,Rangiroa_3,90,Zoox,-21.12,8.77,7.4444444444444455,0.449999999999999,0.140000000000001,0.978693181818182,1.01596351197263
2565,Rangiroa_3,90,Polyps,-20.67,8.91,8.333333333333334,0.449999999999999,0.140000000000001,0.978693181818182,1.01596351197263
2567,Rangiroa_3,90,Zoox,-19.27,10.07,6.6410256410256405,-0.0100000000000016,1.2,1.00051894135963,1.11916583912612
2567,Rangiroa_3,90,Polyps,-19.28,11.27,6.909090909090909,-0.0100000000000016,1.2,1.00051894135963,1.11916583912612
2568,Rangiroa_3,90,Polyps,-19.31,9.07,6.5,0.790000000000003,-0.469999999999999,0.960696517412935,0.950733752620545
2568,Rangiroa_3,90,Zoox,-20.1,9.54,6.157894736842104,0.790000000000003,-0.469999999999999,0.960696517412935,0.950733752620545
2569,Rangiroa_3,90,Polyps,-20.05,8.39,6.833333333333333,0.300000000000001,0.920000000000001,0.985257985257985,1.1231593038822
2569,Rangiroa_3,90,Zoox,-20.35,7.47,6.1,0.300000000000001,0.920000000000001,0.985257985257985,1.1231593038822
2570,Rangiroa_3,90,Zoox,-20.6,8.33,5.4,0.260000000000002,-0.83,0.987378640776699,0.900360144057623
2570,Rangiroa_3,90,Polyps,-20.34,7.5,4.25,0.260000000000002,-0.83,0.987378640776699,0.900360144057623
2571,Rangiroa_3,90,Polyps,-20.13,7.34,4.25,0,-0.779999999999999,1,0.903940886699507
2571,Rangiroa_3,90,Zoox,-20.13,8.12,6.230769230769231,0,-0.779999999999999,1,0.903940886699507
2572,Rangiroa_3,90,Polyps,-19.69,7.95,4.5,0.469999999999999,-0.0199999999999996,0.976686507936508,0.997490589711418
2572,Rangiroa_3,90,Zoox,-20.16,7.97,5.615384615384615,0.469999999999999,-0.0199999999999996,0.976686507936508,0.997490589711418
2573,Rangiroa_3,25,Zoox,-17.11,7.79,6.565217391304348,-0.0700000000000003,1.27,1.00409117475161,1.16302952503209
2573,Rangiroa_3,25,Polyps,-17.18,9.06,8.357142857142856,-0.0700000000000003,1.27,1.00409117475161,1.16302952503209
2574,Rangiroa_3,25,Polyps,-17.34,6.87,7.090909090909091,-0.390000000000001,-1.04,1.02300884955752,0.868520859671302
2574,Rangiroa_3,25,Zoox,-16.95,7.91,6.12,-0.390000000000001,-1.04,1.02300884955752,0.868520859671302
2575,Rangiroa_3,25,Polyps,-17.36,7.67,6.857142857142856,-0.73,-0.609999999999999,1.04389657245941,0.926328502415459
2575,Rangiroa_3,25,Zoox,-16.63,8.28,7.636363636363636,-0.73,-0.609999999999999,1.04389657245941,0.926328502415459
2576,Rangiroa_3,25,Zoox,-16.23,8.88,5.674418604651163,-0.289999999999999,0.739999999999998,1.01786814540973,1.08333333333333
2576,Rangiroa_3,25,Polyps,-16.52,9.62,6.999999999999999,-0.289999999999999,0.739999999999998,1.01786814540973,1.08333333333333
2577,Rangiroa_3,25,Zoox,-17.74,9.18,6.666666666666666,0.0599999999999987,8.11,0.996617812852311,1.88344226579521
2577,Rangiroa_3,25,Polyps,-17.68,17.29,8,0.0599999999999987,8.11,0.996617812852311,1.88344226579521
2578,Rangiroa_3,25,Zoox,-15.17,9.07,6.7272727272727275,-0.16,0.140000000000001,1.01054713249835,1.0154355016538
2578,Rangiroa_3,25,Polyps,-15.33,9.21,8.083333333333334,-0.16,0.140000000000001,1.01054713249835,1.0154355016538
852,Bora_2,40,Polyps,-18.21,4.69,4,0.609999999999999,-0.14,0.967587672688629,0.971014492753623
