Sample ID;Weight (mg);N2 Amp;%N;δ15N vs. At. Air;CO2 Amp;%C;δ13C vs. VPDB
118-P;19.286;410;0.05;3.20;164;0.11;-18.95
118-Z;12.341;2,012;0.32;3.90;1,497;1.63;-18.53
1143-P;21.074;491;0.05;3.89;184;0.11;-19.22
1143-Z;12.641;1,399;0.24;3.95;1,111;1.18;-19.78
1144-Z;11.667;2,566;0.46;4.49;2,074;2.42;-18.56
1144-P;21.386;723;0.07;4.18;326;0.19;-17.99
1145-P;21.112;795;0.08;4.35;321;0.19;-17.70
1145-Z;11.906;2,052;0.34;4.64;1,720;1.95;-18.49
1146-Z;10.597;1,836;0.34;3.45;1,471;1.85;-18.54
1146-P;21.739;733;0.07;4.03;296;0.17;-18.04
1147-Z;11.535;2,264;0.40;4.29;1,854;2.18;-18.51
1147-P;21.678;581;0.06;3.33;229;0.13;-18.32
1148-P;21.396;618;0.06;3.82;243;0.14;-18.51
1148-Z;10.887;1,515;0.29;4.16;1,188;1.45;-18.05
1772-P;12.283;414;0.07;6.30;158;0.16;-15.36
1772-Z;7.063;1,867;0.53;9.06;1,649;3.17;-14.62
1773-P;12.671;431;0.07;5.94;200;0.20;-15.63
1773-Z;8.012;2,586;0.65;8.72;2,369;4.07;-15.32
1774-P;16.365;354;0.05;8.25;174;0.16;-15.81
1774-Z;12.167;4,157;0.75;9.49;3,439;4.62;-14.80
1775-P;17.301;514;0.07;6.89;235;0.20;-16.59
1775-Z;8.051;2,852;0.77;9.66;2,341;4.64;-15.80
128-Z;6.625;1,387;0.46;3.19;1,298;3.08;-17.88
128-P;17.741;384;0.05;4.56;277;0.23;-17.91
140-P;17.719;378;0.05;3.65;253;0.21;-19.02
140-Z;6.807;1,260;0.42;3.49;1,175;2.70;-19.03
143-Z;9.644;1,836;0.43;3.63;1,679;2.78;-18.76
143-P;13.103;204;0.04;NA;146;0.17;-18.68
172-Z;6.56;1,579;0.53;3.42;1,371;3.30;-19.25
172-P;14.401;184;0.03;1.80;94;0.10;-19.22
232-P;17.771;339;0.05;4.49;265;0.22;-17.87
232-Z;7.192;2,290;0.69;4.63;1,865;4.12;-17.66
233-P;13.286;242;0.04;NA;160;0.18;-17.93
233-Z;8.537;2,149;0.54;4.22;2,132;3.98;-17.48
2483-P;18.412;619;0.08;9.17;353;0.29;-16.81
2483-Z;10.848;2,163;0.43;9.90;1,762;2.56;-16.97
2484-P;19.621;869;0.10;8.57;436;0.34;-16.79
2484-Z;9.778;1,520;0.34;8.86;1,050;1.69;-16.51
2485-Z;11.065;2,467;0.47;9.90;1,693;2.40;-15.40
2485-P;18.892;666;0.08;9.73;296;0.23;-16.24
2486-Z;9.696;1,586;0.34;9.47;1,311;2.08;-15.50
2486-P;20.132;856;0.09;9.45;433;0.32;-15.82
2487-P;19.758;781;0.09;11.65;362;0.27;-16.72
