"ID_LAB";"Island_Site";"Depth";"C3.C115d.C1.C3fx.C3fv.C1de.C3fy";"C1.C1b.C3.C1u.C1bo.C1bn";"C21.C21u.C3.C21w.C21v";"C1.C1b.C1c.C42.2.C1br.C1bh.C1cb.C72k";"C3.C1.C3fx.C1de.C3fv.C6b";"C3.C115d.C3fv.C3fw";"C115m.C3.C115d";"C1.C3";"C116.C116af.C116ag.C116q";"C21";"C1.C1b.C3.C1u.C1bo";"C116";"C15h";"C15ag";"D1.D4.D4c.D6.D1c";"D1.D4.D4c.D1c.D2";"D1.D4.D17d.D4c.D17c.D1r.D17e.D2.D17j.D17l";"D1.D4.D1c.D17d.D1r.D17e.D17c";"D1.D4.D17d.D17e.D1r.D17c";"G3a.G3ac.G3ai";"G3a.G3ai.G3ae"
1849;"Tikehau_2";60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138212;0;0;0;0;0;0
2463;"Rangiroa_3";60;0;100300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2464;"Rangiroa_3";60;0;185102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;"Rangiroa_3";60;0;84662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2466;"Rangiroa_3";60;0;287029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2467;"Rangiroa_3";60;0;151503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2468;"Rangiroa_3";60;0;93746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2469;"Rangiroa_3";60;0;57717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2470;"Rangiroa_3";60;0;47883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2473;"Rangiroa_3";40;0;166632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2474;"Rangiroa_3";40;0;199269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2475;"Rangiroa_3";40;0;118239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2476;"Rangiroa_3";40;0;129988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2477;"Rangiroa_3";40;0;104144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2478;"Rangiroa_3";40;0;97274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2479;"Rangiroa_3";40;0;67732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2480;"Rangiroa_3";40;0;154391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2564;"Rangiroa_3";90;0;0;0;212421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2565;"Rangiroa_3";90;0;873;0;0;0;0;0;0;0;0;0;0;0;0;0;186272;0;0;0;0;0
2566;"Rangiroa_3";90;0;0;0;451041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2567;"Rangiroa_3";90;0;248708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2568;"Rangiroa_3";90;0;0;0;39588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2569;"Rangiroa_3";90;0;294367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3780;0;0;0;0
