"sample";"island";"depth";"archipelago";"site";"Colbar";"A5/A5n";"A1-A1h-A1dl";"C1/C1d/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p";"C42.2/C1/C42g/C42a-C1b-C1az-C1au-C3-C115k-C41p-C115d";"C1/C42.2/C1j-C1b-C3cg-C1au-C3-C45c-C115k";"C42aj-C1cu";"C42.2/C1-C1b-C3-C1au";"C1cd/C1cf-C1-C1cg-C1ch-C1da";"C42.2/C1/C42a/C1b-C1az-C1au-C115d-C3-C1j";"C116-C116af-C116ag-C116q";"C1cd/C1cf-C1-C1cg-C1ce-C1ch";"C15h";"C116";"C1d/C42.2/C1";"C1/C42.2/C3-C1b";"C3fu";"C15/C15m";"C1/C42.2/C1ag-C3cg-C1b-C1bi-C3cw-C45c";"C116/C42.2-C1-C116q";"C21-C21u-C3-C21w-C21v";"C3";"C42a/C1/C42.2/C1b/C3-C1au";"C3/C21/C3av-C3at-C3b-C3dp";"C1/C42.2/C1d/C3cg-C1b-C3-C45c-C115k-C1au";"C1/C3";"D1-D6-D4-D2d-D2.2-D1h-D2f";"D1/D4-D6-D1h-D2g-D2d-D2.2";"D1-D6-D4-D1h-D2g";"D1-D4-D4c-D6-D1c";"D1/D6/D4-D2d-D1h-D2.2";"G3a-G3ai-G3ae"
"POC111";"SOCMOO";"20";"Society";"SOCMOO2";"c4";0;0;0;13367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC110";"SOCMOO";"20";"Society";"SOCMOO2";"c3";0;0;0;0;2811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC5994";"SOCMOO";"20";"Society";"SOCMOO1";"c5";0;0;0;0;31238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC113";"SOCMOO";"20";"Society";"SOCMOO2";"c6";0;0;0;0;2552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC5992";"SOCMOO";"20";"Society";"SOCMOO1";"c4";0;0;0;0;63233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC124";"SOCMOO";"20";"Society";"SOCMOO2";"c7";0;0;0;0;27158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC102";"SOCMOO";"20";"Society";"SOCMOO2";"c2";0;0;0;0;8081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC919";"SOCBOR";"20";"Society";"SOCBOR2";"c1";0;0;0;0;17424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC621";"SOCBOR";"20";"Society";"SOCBOR1";"c5";0;0;0;0;0;0;0;0;4595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC112";"SOCMOO";"20";"Society";"SOCMOO2";"c5";0;0;2913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6362
"POC6192";"SOCTAH";"40";"Society";"SOCTAH1";"c6";0;0;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
